Model,Subject,Accuracy
meta-llama/Llama-3.2-1B-Instruct,abstract_algebra,0.24
meta-llama/Llama-3.2-1B-Instruct,anatomy,0.48148148148148145
meta-llama/Llama-3.2-1B-Instruct,astronomy,0.5
meta-llama/Llama-3.2-1B-Instruct,business_ethics,0.45
meta-llama/Llama-3.2-1B-Instruct,clinical_knowledge,0.5433962264150943
meta-llama/Llama-3.2-1B-Instruct,college_biology,0.5277777777777778
meta-llama/Llama-3.2-1B-Instruct,college_chemistry,0.35
meta-llama/Llama-3.2-1B-Instruct,college_computer_science,0.25
meta-llama/Llama-3.2-1B-Instruct,college_mathematics,0.24
meta-llama/Llama-3.2-1B-Instruct,college_medicine,0.45664739884393063
TinyLlama/TinyLlama-1.1B-Chat-v1.0,abstract_algebra,0.15
TinyLlama/TinyLlama-1.1B-Chat-v1.0,anatomy,0.23703703703703705
TinyLlama/TinyLlama-1.1B-Chat-v1.0,astronomy,0.21710526315789477
TinyLlama/TinyLlama-1.1B-Chat-v1.0,business_ethics,0.22
TinyLlama/TinyLlama-1.1B-Chat-v1.0,clinical_knowledge,0.2792452830188679
TinyLlama/TinyLlama-1.1B-Chat-v1.0,college_biology,0.2013888888888889
TinyLlama/TinyLlama-1.1B-Chat-v1.0,college_chemistry,0.32
TinyLlama/TinyLlama-1.1B-Chat-v1.0,college_computer_science,0.24
TinyLlama/TinyLlama-1.1B-Chat-v1.0,college_mathematics,0.28
TinyLlama/TinyLlama-1.1B-Chat-v1.0,college_medicine,0.21387283236994223
Qwen/Qwen2.5-0.5B-Instruct,abstract_algebra,0.29
Qwen/Qwen2.5-0.5B-Instruct,anatomy,0.437037037037037
Qwen/Qwen2.5-0.5B-Instruct,astronomy,0.4276315789473684
Qwen/Qwen2.5-0.5B-Instruct,business_ethics,0.5
Qwen/Qwen2.5-0.5B-Instruct,clinical_knowledge,0.46037735849056605
Qwen/Qwen2.5-0.5B-Instruct,college_biology,0.4305555555555556
Qwen/Qwen2.5-0.5B-Instruct,college_chemistry,0.28
Qwen/Qwen2.5-0.5B-Instruct,college_computer_science,0.3
Qwen/Qwen2.5-0.5B-Instruct,college_mathematics,0.29
Qwen/Qwen2.5-0.5B-Instruct,college_medicine,0.41040462427745666
